ï»¿S1000000002;ВЫДЕЛЕНИЕ ПЛОЩАДНЫХ;NoneStylePoly
P1000000003;ВЫДЕЛЕНИЕ ТОЧЕЧНЫХ;NoneStyleMark
T1000000004;ВЫДЕЛЕНИЕ ПОДПИСЕЙ;None
V1000000005;ВЫДЕЛЕНИЕ ВЕКТОРНЫХ;NoneStyleLine
C1000000006;ВЫДЕЛЕНИЕ ШАБЛОНОВ;None
L1000000007;СЛУЖЕБНЫЙ ОБ'ЕКТ;NoneStyleLine
L1000000008;СЛУЖЕБНЫЙ ОБ'ЕКТ;NoneStyleLine
L1000000009;СЛУЖЕБНЫЙ ОБ'ЕКТ;NoneStyleLine
L1000000010;СЛУЖЕБНЫЙ ОБ'ЕКТ;NoneStyleLine
L1000000011;СЛУЖЕБНЫЙ ОБ'ЕКТ;NoneStyleLine
L1000000012;СЛУЖЕБНЫЙ ОБ'ЕКТ;NoneStyleLine
L1000000013;СЛУЖЕБНЫЙ ОБ'ЕКТ;NoneStyleLine
L1000000014;СЛУЖЕБНЫЙ ОБ'ЕКТ;NoneStyleLine
L0091000000;РАМКА ЛИСТА;blackLine
S0041100000;ГОРОДА;blackLinePoly
S0041200000;ПОСЕЛКИ ГОРОДСКОГО ТИПА (ПГТ);blackLinePoly
S0042100000;ПОСЕЛКИ СЕЛЬСКОГО ТИПА ;blackLinePoly
S0042200000;ОТДЕЛЬНЫЕ ДВОРЫ (ХУТОРА);blackLinePoly
S0043100000;ПОСЕЛКИ ДАЧНОГО ТИПА ;blackLinePoly
S0043200000;ПОСЕЛКИ,НЕ ОТНЕСЕН.К КАТЕГ.ПГТ;blackLinePoly
S0043400000;ДАЧНЫЕ И САДОВЫЕ УЧАСТКИ;blackLinePoly
S0045400000;ЧАСТИ НАСЕЛЕННОГО ПУНКТА;blackLinePoly
S0071100000;ДРЕВЕСНАЯ  РАСТИТЕЛЬНОСТЬ;Леса_25к-100к
S0071111110;ЛЕСА ГУСТЫЕ ВЫСОКИЕ (ОБЫЧНЫЕ);Леса_25к-100к
S0071111120;ЛЕСА ГУСТЫЕ НИЗКОРОСЛЫЕ;Леса_25к-100к
S0071112100;БУРЕЛОМЫ;Буреломы_100к
S0071113000;ПОРОСЛЬ ЛЕСА;NoneStylePoly
